setting,n,m,Cox_negll,AM_negll,LT_negll,Flex_negll,Cox_npar,AM_npar,LT_npar,Flex_npar
1,2000,2000,-0.8467597328265369,-0.7483234319896187,-0.7828979669981236,-0.8573347874993037,14,10,15,22
1,2000,2000,-0.717120710373506,-0.6151089572649516,-0.6563527183362425,-0.7205264355128242,14,10,15,22
1,2000,2000,-0.7466269880011769,-0.6527150401440545,-0.6680425395774132,-0.750703033465169,14,10,15,22
1,2000,2000,-1.0021322340554626,-0.8895505145117731,-0.9366939565853108,-1.0083419539221223,14,10,15,22
1,2000,2000,-1.0271542148502912,-0.9055725593217913,-0.9343086092550229,-1.0309797554646942,14,10,15,22
1,2000,2000,-0.7427081074065754,-0.631847101022182,-0.6787312938127997,-0.7443544644167814,14,10,15,22
1,2000,2000,-0.9103234371946491,-0.7930078603570473,-0.7823883212985556,-0.9116455497330352,14,10,15,22
1,2000,2000,-0.727600159737187,-0.6230559073465716,-0.6475176463899206,-0.728883951139203,14,10,15,22
1,2000,2000,-0.7463664214203063,-0.6259568992896829,-0.7009505788866436,-0.7528148715120133,14,10,15,22
1,2000,2000,-0.9669011870180089,-0.8450948203409598,-0.8957125737978513,-0.9730069217785613,14,10,15,22
1,2000,2000,-0.7215255093422065,-0.6157809430640755,-0.6584500774232738,-0.7263624396318688,14,10,15,22
1,2000,2000,-1.124237943674441,-1.0077145027011902,-1.0269977682626208,-1.1263290285325838,14,10,15,22
1,2000,2000,-0.8178456503333532,-0.7192298461358733,-0.7513748883803691,-0.8237855433489608,14,10,15,22
1,2000,2000,-0.9421608866499023,-0.8336274478238015,-0.8631135753979333,-0.9463930396902328,14,10,15,22
1,2000,2000,-1.0621634686568604,-0.9447903495208306,-0.9653417684919855,-1.0664739227704654,14,10,15,22
1,2000,2000,-0.6671830101463311,-0.5480376513694837,-0.6147773113220351,-0.6725697746723759,14,10,15,22
1,2000,2000,-0.922718818361438,-0.7965718049424536,-0.8380922643396997,-0.9250171138755708,14,10,15,22
1,2000,2000,-0.9735133530050512,-0.8552135118563888,-0.9006734026679678,-0.9762563157631953,14,10,15,22
1,2000,2000,-1.2711085406263622,-1.1127582825020699,-1.0936715440093745,-1.2768498347084247,14,10,15,22
1,2000,2000,-0.9296834881536861,-0.8199037638369777,-0.8565357880461265,-0.93450156864484,14,10,15,22
1,2000,2000,-0.8318464666560994,-0.7085999037293214,-0.7699341953199068,-0.8352762565805452,14,10,15,22
1,2000,2000,-0.7582655368914861,-0.6581996958812383,-0.6855322569815125,-0.758967440264586,14,10,15,22
1,2000,2000,-0.9140707989169291,-0.8039057277641832,-0.8472946410271993,-0.9181294545861352,14,10,15,22
1,2000,2000,-0.7696308681197557,-0.6481032041276358,-0.6385386653107517,-0.7735386483134434,14,10,15,22
